Category,Appliance,Type/Variant,Min Power (W),Max Power (W),Surge Factor,Typical Hours/day,Notes
Laundry & Cleaning Appliances,Washing Machine,Manual (Non-Automatic),200.0,400,1.5,0.5–2,Basic units without spin; common in rural areas and low-income homes.
Laundry & Cleaning Appliances,,Semi-Automatic (Twin Tub),300.0,600,1.5,0.5–2,"Widespread in Nigeria; affordable, requires manual water filling."
Laundry & Cleaning Appliances,,Fully Automatic (Top Load),500.0,1000,1.5,0.5–2,"Urban homes; convenient, fills and drains automatically."
Laundry & Cleaning Appliances,,Fully Automatic (Front Load),800.0,2000,1.8,0.5–2,"Premium option; gentle on clothes; seen in upscale homes, laundromats."
Laundry & Cleaning Appliances,,Industrial Washer,2000.0,5000,2.0,4–12,"Used in hotels, hospitals, commercial laundries."
Laundry & Cleaning Appliances,Clothes Dryer,Venting Dryer,1500.0,2500,1.5,1–3,Rare in Nigeria due to sunny weather; seen in urban apartments.
Laundry & Cleaning Appliances,,Condenser Dryer,1800.0,3000,1.5,1–3,Premium; urban middle/upper-class homes.
Laundry & Cleaning Appliances,,Washer-Dryer Combo,2000.0,3500,1.5,1–3,Used where space is limited; found in compact apartments.
Laundry & Cleaning Appliances,,Industrial Dryer,3000.0,6000,2.0,2–6,"Laundromats, hotels."
Laundry & Cleaning Appliances,Vacuum Cleaner,Handheld Vacuum,100.0,300,1.2,0.25–1,Used in cars and small households.
Laundry & Cleaning Appliances,,Upright Vacuum,400.0,1200,1.3,0.25–2,Popular in homes and offices.
Laundry & Cleaning Appliances,,Canister Vacuum,800.0,1600,1.3,0.25–2,"More powerful, common in hotels and large offices."
Laundry & Cleaning Appliances,,Robotic Vacuum,30.0,60,1.0,1–4,Rare in Nigeria; premium households only.
Laundry & Cleaning Appliances,,Industrial Vacuum,1000.0,3000,1.5,0.5–4,"Used in hotels, event halls, factories."
Laundry & Cleaning Appliances,Steam Cleaner,Handheld Steam Cleaner,800.0,1200,1.3,0.25–1,"Used for tiles, fabrics; middle-class homes and cleaning services."
Laundry & Cleaning Appliances,,Floor Steam Mop,1000.0,1500,1.3,0.25–1,"Found in upscale homes, hotels, offices."
Laundry & Cleaning Appliances,Iron (Pressing Iron),Dry Iron,1000.0,1500,1.5,0.25–1,Widely used across Nigeria.
Laundry & Cleaning Appliances,,Steam Iron,1200.0,2000,1.5,0.25–1,Common in middle-class homes.
Laundry & Cleaning Appliances,,Cordless Iron,800.0,1200,1.5,0.25–1,"Rechargeable, less common; premium option."
Laundry & Cleaning Appliances,,Industrial Iron (Heavy),2000.0,4000,1.5,0.5–2,"Used in hotels, tailoring shops, uniform services."
Laundry & Cleaning Appliances,Sewing Machine,Manual/Electric Hybrid,30.0,80,1.0,1–4,Tailoring shops across Nigeria.
Laundry & Cleaning Appliances,,Industrial Electric,300.0,800,1.2,2–8,Found in professional tailoring shops.
Laundry & Cleaning Appliances,,Embroidery Machine,500.0,1200,1.3,2–6,Used in fashion design and branding shops.
Laundry & Cleaning Appliances,Polisher,Floor Polisher,600.0,1200,1.3,1–3,"Found in offices, schools, hotels."
Laundry & Cleaning Appliances,Water Extractor,Carpet/Water Vacuum,1000.0,2000,1.3,0.25–2,"Used in cleaning services, hotels, and large offices."
Entertainment & Media Electronics,Television,CRT TV (Old Box TV),60.0,150,1.2,2–8,Very common in Nigeria in 1990s–2000s; still found in rural areas.
Entertainment & Media Electronics,,"Small LED TV (24–32"")",20.0,60,1.0,2–8,"Affordable, used in hostels, small homes."
Entertainment & Media Electronics,,"Medium LED TV (40–50"")",50.0,120,1.0,2–8,Common in middle-class homes.
